================================================================
======== SteamID64 (Hex): 11000014ba5c160 | Date: 17/3/2565
================================================================
[16:06:09] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocHeal","content":"Noah Blackcalen ทำการรักษา EAKO YAKI","date":"17/3/2565 16:06:07"}
[16:10:40] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Noah Blackcalen ใช้ เครื่องปั้มหัวใจ จำนวน 1","date":"17/3/2565 16:10:38"}
[16:10:40] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Noah Blackcalen ชุบชีวิต Tokyo Paradise ได้รับ $0","date":"17/3/2565 16:10:38"}
[16:10:54] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Noah Blackcalen ใช้ ชุดปฐมพยาบาล จำนวน 1","date":"17/3/2565 16:10:52"}
[16:10:54] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocHeal","content":"Noah Blackcalen ทำการรักษา Tokyo Paradise","date":"17/3/2565 16:10:52"}
[16:35:30] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Noah Blackcalen ใช้ เครื่องปั้มหัวใจ จำนวน 1","date":"17/3/2565 16:35:28"}
[16:35:30] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Noah Blackcalen ชุบชีวิต Tokyo Paradise ได้รับ $0","date":"17/3/2565 16:35:28"}
[16:35:47] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Noah Blackcalen ใช้ ชุดปฐมพยาบาล จำนวน 1","date":"17/3/2565 16:35:45"}
[16:35:47] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocHeal","content":"Noah Blackcalen ทำการรักษา Tokyo Paradise","date":"17/3/2565 16:35:45"}
[16:58:21] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Noah Blackcalen ใช้ เครื่องปั้มหัวใจ จำนวน 1","date":"17/3/2565 16:58:19"}
[16:58:21] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRevive","content":"Noah Blackcalen ชุบชีวิต EAKO YAKI ได้รับ $0","date":"17/3/2565 16:58:19"}
[16:58:37] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocHeal","content":"Noah Blackcalen ทำการรักษา EAKO YAKI","date":"17/3/2565 16:58:35"}
[16:58:37] [ERROR] [17] Discord: Only absolute URLs are supported Data: {"event":"DocRemoveItem","content":"Noah Blackcalen ใช้ ชุดปฐมพยาบาล จำนวน 1","date":"17/3/2565 16:58:35"}
